timestamp,chromosome,ff_0,ff_1,ff_2,generation,exp_name,train_it,max_p,minimal_p,vel_v,vel_E,vel_P,eff_v,eff_E,eff_P,prog_v,prog_E,prog_P,rew_10pct,rew_20pct,rew_30pct,rew_40pct,rew_50pct,rew_60pct,rew_70pct,rew_80pct,rew_90pct,rew_100pct,final_reward,steps90_pct
1764791171.3445227,"[0.7363917272757039, 0.9521266792825837, 0.7401750891362848, 0.5969469418454862, 0.4520427007583294, 0.7706519400641664, 0.4207966548269718, 0.9911108436948343, 0.7847586038725513, 0.2439833259016695, 0.4767159311311341, 0.08862734895094049, 0.09480786605931613, 0.8715003316040689, 0.2993355209389734]",0.0,100.0,257.6310721978909,0,"nsga-2382244-[0.670918, 4.83244, 0.672053, 0.479084, 0.435613, 0.585326, 2.97279, 0.397333, 3.4619, -5.12033, 0.25, 1.67725, 1.68962, 2, -3.50332]",0,257.6310721978909,300.0,0.0,100.0,0.0,0.0,100.0,0.0,12.91941058461259,1.3082587515435569,257.6310721978909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.639793395996094,0.0
1764791171.3500998,"[0.9828014045349769, 0.9341735214893052, 0.9107112098843126, 0.946939576608633, 0.10303997608441429, 0.4802168533223242, 0.3958662522455567, 0.6861546822983579, 0.9394024359611011, 0.6192848864706958, 0.9076497546582194, 0.2602593601672194, 0.7071048377199253, 0.187510164354609, 0.2210147492422816]",0.0,100.0,6.273136194740854,0,"nsga-2382244-[0.74484, 4.76961, 0.723213, 0.584082, 0.330912, 0.440108, 2.88553, 0.305846, 3.84851, 2.3857, 0.25, 2.02052, 2.91421, 2, -3.89493]",0,6.273136194740854,300.0,0.0,100.0,0.0,0.0,100.0,0.0,6.237184361713688,0.599237982456277,6.273136194740854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0254260301589966,0.0
1764791171.3512707,"[0.8201918193719837, 0.08026987795925467, 0.7713083373205925, 0.7900400827648261, 0.1224667493916417, 0.3991434165193687, 0.6397500760243956, 0.8630315398144649, 0.6294225925925399, 0.08569530232117795, 0.8061900417798576, 0.45548050055630873, 0.028714696441287546, 0.5320815784451538, 0.20128550887382446]",0.0,100.0,4.592642146785085,0,"nsga-2382244-[0.696058, 1.78094, 0.681393, 0.537012, 0.33674, 0.399572, 3.73913, 0.358909, 3.07356, -8.28609, 0.25, 2.41096, 1.55743, 2, -3.99357]",0,4.592642146785085,300.0,0.0,100.0,0.0,0.0,100.0,0.0,5.875705144463516,0.06560783947749836,4.592642146785085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12659120559692383,0.0
1764791171.3524122,"[0.3063651071598853, 0.022875570427650205, 0.9899027240113316, 0.2080452127927691, 0.548308523052977, 0.49236842770767186, 0.22805007457593784, 0.9504964994748603, 0.41571908103060773, 0.553179001989478, 0.95577014756032, 0.7925983263352411, 0.824314238948428, 0.906770152359974, 0.10999595179300148]",15.501827430725097,0.9817183980127661,415.06028233970085,0,"nsga-2382244-[0.54191, 1.58006, 0.746971, 0.362414, 0.464493, 0.446184, 2.29818, 0.385149, 2.5393, 1.06358, 0.25, 3.0852, 3.14863, 2, -4.45002]",0,415.06028233970085,300.0,15.501827430725097,0.98174488137408,301.5610902181486,15.500121395762374,0.9817183980127661,301.21694051230827,12.480007813616497,1.0604253422923204,415.06028233970085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.891845703125,0.0
1764791171.3535752,"[0.7876657702480402, 0.9957584487441704, 0.20725635599063386, 0.06891009501478351, 0.8469059723824818, 0.057049787749468006, 0.23004066489170016, 0.9182420650984775, 0.9588508483883557, 0.2545552303565053, 0.7574497019841362, 0.2621382612326323, 0.6178577954692644, 0.08249054052380678, 0.21579325446189024]",0.0,100.0,128.57925165688118,0,"nsga-2382244-[0.6863, 4.98515, 0.512177, 0.320673, 0.554072, 0.228525, 2.30514, 0.375473, 3.89713, -4.9089, 0.25, 2.02428, 2.73572, 2, -3.92103]",0,128.57925165688118,300.0,0.0,100.0,0.0,0.0,100.0,0.0,16.23405675655458,1.0208839625847048,128.57925165688118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.560237884521484,0.0
1764791171.3546844,"[0.40442326757462677, 0.696469826550225, 0.18691960050899303, 0.5437691930530549, 0.9742117663671884, 0.01795496840334998, 0.3030016922480955, 0.7303747172014536, 0.8372224907201536, 0.4260457305623584, 0.2967667523758828, 0.4287518606220705, 0.898420165814578, 0.7425131474516039, 0.3579077368505533]",0.0,100.0,250.07931297116164,0,"nsga-2382244-[0.571327, 3.93764, 0.506076, 0.463131, 0.592264, 0.208977, 2.56051, 0.319112, 3.59306, -1.47909, 0.25, 2.3575, 3.29684, 2, -3.21046]",0,250.07931297116164,300.0,0.0,100.0,0.0,0.0,100.0,0.0,16.786564738576004,0.8391515632955039,250.07931297116164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.53373718261719,0.0
1764791171.3561215,"[0.7734750256240751, 0.3964022963570091, 0.12059227264480676, 0.938407446635185, 0.6646834020636534, 0.009253364899940886, 0.9095010624298312, 0.6080501298136801, 0.7517779471681738, 0.14627679718235154, 0.30369147524518225, 0.017618128653420162, 0.31765875349891515, 0.48248018180478114, 0.43456341929508435]",0.0,100.0,23.284117107856563,0,"nsga-2382244-[0.682043, 2.88741, 0.486178, 0.581522, 0.499405, 0.204627, 4.68325, 0.282415, 3.37944, -7.07446, 0.25, 1.53524, 2.13532, 2, -2.82718]",0,23.284117107856563,300.0,0.0,100.0,0.0,0.0,100.0,0.0,10.465393843301912,0.6622491874345919,23.284117107856563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.211691856384277,0.0
1764791171.3572445,"[0.733487019614066, 0.8038049450249024, 0.5086769788723882, 0.5786793808014121, 0.551067886075036, 0.5467089857768986, 0.013581001970164874, 0.0201359307159642, 0.19242988918340764, 0.26835242227780953, 0.48925735511622337, 0.7828984921392065, 0.6208394595209196, 0.25819978979959624, 0.6003924312733937]",0.0,100.0,220.25260540101587,0,"nsga-2382244-[0.670046, 4.31332, 0.602603, 0.473604, 0.46532, 0.473354, 1.54753, 0.106041, 1.98107, -4.63295, 0.25, 3.0658, 2.74168, 2, -1.99804]",0,220.25260540101587,300.0,0.0,100.0,0.0,0.0,100.0,0.0,12.9739030791492,0.959509209597983,220.25260540101587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.87957763671875,0.0
1764791171.358359,"[0.8619168971099027, 0.30176186315882714, 0.46625427698660304, 0.488389591421013, 0.23988975594958672, 0.8493091468198349, 0.3907212173073491, 0.8296736141826236, 0.656334883747098, 0.9520015149279941, 0.38275186623694857, 0.8518822169826734, 0.7297489125236275, 0.09049871437528523, 0.9432184616898124]",11.93587786511677,0.8359600596311616,404.0034795249381,0,"nsga-2382244-[0.708575, 2.55617, 0.589876, 0.446517, 0.371967, 0.624655, 2.86752, 0.348902, 3.14084, 9.04003, 0.25, 3.20376, 2.9595, 2, -0.283908]",0,404.0034795249381,300.0,11.93587786511677,0.9381504995066945,300.4661727160942,10.516032781833555,0.8359600596311616,386.8852111444241,9.35372600090213,0.872950462306418,404.0034795249381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.3715515136719,0.0
1764791171.3594477,"[0.6337566409165838, 0.31180631908540146, 0.8845742349178979, 0.9078700485487398, 0.07092469554127134, 0.8961626724508851, 0.3862177763844623, 0.9908332621103786, 0.6514285412593711, 0.10427381256093082, 0.7910458304836941, 0.5544870961223394, 0.7336415327189455, 0.03782966492055562, 0.7934673869434272]",0.0,100.0,127.11949180975193,0,"nsga-2382244-[0.640127, 2.59132, 0.715372, 0.572361, 0.321277, 0.648081, 2.85176, 0.39725, 3.12857, -7.91452, 0.25, 2.60897, 2.96728, 2, -1.03266]",0,127.11949180975193,300.0,0.0,100.0,0.0,0.0,100.0,0.0,8.307927129326798,1.7245217067439382,127.11949180975193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.786425590515137,0.0
1764791171.3605509,"[0.9646821650875068, 0.40053783145323785, 0.8820206992073805, 0.1130289263112988, 0.28367872028875785, 0.23819407318800578, 0.30865355479400003, 0.4191344477985982, 0.2493055354156003, 0.4516999101274397, 0.8982309696505972, 0.8874001270022187, 0.7866246087696901, 0.9549742967891228, 0.7355301524877342]",16.789914531242555,0.7880441101585947,374.7784401870355,0,"nsga-2382244-[0.739405, 2.90188, 0.714606, 0.333909, 0.385104, 0.319097, 2.58029, 0.22574, 2.12326, -0.966002, 0.25, 3.2748, 3.07325, 2, -1.32235]",0,374.7784401870355,300.0,16.789914531242555,0.9438288569450378,309.64982344464556,11.298854576669088,0.7880441101585947,371.446723119224,11.065725647530904,0.7916594900735995,374.7784401870355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.24169921875,0.0
1764791171.3616512,"[0.6476171800805257, 0.7086691006863282, 0.10605752794209145, 0.8896516737304128, 0.8907808335640905, 0.6651317144730365, 0.37256685180800264, 0.7055648650721348, 0.9141288030764446, 0.38116268679367893, 0.378880358343625, 0.48648866185206663, 0.5790014959186055, 0.964132955519296, 0.3902737981567065]",16.559549996911027,0.9303597406643193,364.047364211664,0,"nsga-2382244-[0.644285, 3.98034, 0.481817, 0.566896, 0.567234, 0.532566, 2.80398, 0.311669, 3.78532, -2.37675, 0.25, 2.47298, 2.658, 2, -3.04863]",0,364.047364211664,300.0,16.559549996911027,1.0040295158944479,300.6899338512886,13.961102550785716,0.9303597406643193,363.97390151605373,14.015774447743485,0.9319025877045422,364.047364211664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.4874572753906,0.0
1764791171.3630106,"[0.04907502014237142, 0.8877188717388257, 0.32190464029250454, 0.5472139562001577, 0.28633040545837796, 0.056389432047123544, 0.3011903613913869, 0.03223068225316339, 0.6727208798496093, 0.5794717115191133, 0.25459580352114786, 0.04502710781359198, 0.3316393437302012, 0.15851042444709806, 0.3500310870478732]",0.0,100.0,128.37557554477598,0,"nsga-2382244-[0.464723, 4.60702, 0.546571, 0.464164, 0.385899, 0.228195, 2.55417, 0.109669, 3.1818, 1.58943, 0.25, 1.59005, 2.16328, 2, -3.24984]",0,128.37557554477598,300.0,0.0,100.0,0.0,0.0,100.0,0.0,16.1487818880779,1.0084807529682067,128.37557554477598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.68756103515625,0.0
1764791171.3641415,"[0.4568832799589986, 0.25534299053086706, 0.9565349658428262, 0.4575780014629667, 0.323298172638683, 0.20555473620030662, 0.4728147761652862, 0.3432115351325652, 0.6511388003302883, 0.4405698468150575, 0.3203735747388672, 0.2308260766583855, 0.3482529481502129, 0.2163305621091095, 0.2421580845692236]",15.981201911554104,0.8022165847987663,397.8910697006598,0,"nsga-2382244-[0.587065, 2.3937, 0.73696, 0.437273, 0.396989, 0.302777, 3.15485, 0.202963, 3.12785, -1.1886, 0.25, 1.96165, 2.19651, 2, -3.78921]",0,397.8910697006598,300.0,15.981201911554104,0.8783358126151852,300.2095207214355,12.848858977527152,0.8022165847987663,385.37045381127336,10.413391992522449,0.8811847820514586,397.8910697006598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0806579589844,0.0
1764791171.3652346,"[0.5073840176922655, 0.7298000199361412, 0.7409214243962328, 0.5073163493032435, 0.12599358022249918, 0.15618032050343766, 0.5698930063096992, 0.49737278103484805, 0.7874794126439058, 0.3457954465958133, 0.7835284886629078, 0.3975845649624601, 0.029529607570394245, 0.550801513018773, 0.7476663291261783]",0.0,100.0,161.65572438588956,0,"nsga-2382244-[0.602215, 4.0543, 0.672276, 0.452195, 0.337798, 0.27809, 3.49463, 0.249212, 3.4687, -3.08409, 0.25, 2.29517, 1.55906, 2, -1.26167]",0,161.65572438588956,300.0,0.0,100.0,0.0,0.0,100.0,0.0,13.95641490657155,1.120978180082833,161.65572438588956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.125720024108887,0.0
1764791171.3663228,"[0.7929567157348396, 0.0004369076019064, 0.6777690506718335, 0.1561975373103286, 0.019705158253352284, 0.3551269904118991, 0.5398153850052556, 0.1614587150961181, 0.6946394348970661, 0.8216953705356146, 0.6439677645187513, 0.9685696271938102, 0.3283566425155302, 0.4752326226423712, 0.23999175499308645]",0.0,100.0,126.32990935721048,0,"nsga-2382244-[0.687887, 1.50153, 0.653331, 0.346859, 0.305912, 0.377563, 3.38935, 0.148438, 3.2366, 6.43391, 0.25, 3.43714, 2.15671, 2, -3.80004]",0,126.32990935721048,300.0,0.0,100.0,0.0,0.0,100.0,0.0,8.272800643269608,1.0125195378210488,126.32990935721048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.14649963378906,0.0
1764791171.3674414,"[0.6433826075053787, 0.794426304964843, 0.4654990572268837, 0.729820953449184, 0.9276074002247333, 0.5474652897701129, 0.8757796937395971, 0.8114597304992414, 0.6793307029430008, 0.3733683231857624, 0.4176737131912295, 0.8402996356274958, 0.04210269623753493, 0.29753044116024996, 0.3654997301918145]",13.487467579725312,1.0492303577865043,323.0123481936571,0,"nsga-2382244-[0.643015, 4.28049, 0.58965, 0.518946, 0.578282, 0.473733, 4.56523, 0.343438, 3.19833, -2.53263, 0.25, 3.1806, 1.58421, 2, -3.1725]",0,323.0123481936571,300.0,13.487467579725312,1.052982559436705,301.0376766856124,13.014778662890922,1.0492303577865043,308.59882321241423,11.996373823212414,1.0537823432829323,323.0123481936571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0635223388672,0.0
1764791171.3685381,"[0.11370378350880728, 0.991117553997028, 0.8479039517375905, 0.5189630316543951, 0.44114753160602016, 0.7995258142411418, 0.15841811822943308, 0.995156260133818, 0.2487653689759204, 0.09145318103838052, 0.8007531472648333, 0.8932102799656884, 0.039669838670115976, 0.9512265581679912, 0.8170280240504403]",0.0,100.0,31.008184879582103,0,"nsga-2382244-[0.484111, 4.96891, 0.704371, 0.455689, 0.432344, 0.599763, 2.05446, 0.398547, 2.12191, -8.17094, 0.25, 3.28642, 1.57934, 2, -0.91486]",0,31.008184879582103,300.0,0.0,100.0,0.0,0.0,100.0,0.0,12.282147407531738,1.2281654491657163,31.008184879582103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.717677116394043,0.0
1764791171.3696325,"[0.4189268537543308, 0.4753367223328, 0.2574750304226987, 0.03170201620802249, 0.010181592699292863, 0.07171059792310541, 0.11728109863671565, 0.5896086721772774, 0.2854145998179719, 0.6087998981792943, 0.778640305245734, 0.4738687308832198, 0.059142865846645076, 0.44699342378120965, 0.3998152445998038]",13.977583201338605,0.8555170361588641,394.2722403921732,0,"nsga-2382244-[0.575678, 3.16368, 0.527243, 0.309511, 0.303054, 0.235855, 1.91048, 0.276883, 2.21354, 2.176, 0.25, 2.44774, 1.61829, 2, -3.00092]",0,394.2722403921732,300.0,13.977583201338605,0.8894325971603394,301.17180432575503,12.795616926798006,0.8555170361588641,375.8139358148342,11.142539670990734,0.9283405091704392,394.2722403921732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.06626892089844,0.0
