,wing_span,wing_aspect_ratio,fus_length,cg_x_ratio,attach_x_ratio,elevator_span,elevator_aspect_ratio,rudder_span,rudder_aspect_ratio,dihedral_deg,sweep_multiplier,twist_multiplier,alpha0_2d_deg,wing_area,elevator_area,rudder_area,ff_0,ff_1,ff_2
wing_span,1.0,-0.04239759196167672,-0.08770069479587639,0.233131483734045,0.05113176247613187,0.024045368947417975,-0.16233535440777885,-0.0207129691710637,-0.20612985494183708,-0.13936722136060856,0.15542022941209038,0.2589200133406221,-0.015168934780066378,0.6606505667308138,0.07431852145478005,0.04758783128638272,-0.3386552928373313,0.0013397031651445398,-0.22769231392247943
wing_aspect_ratio,-0.04239759196167672,1.0,-0.3174144086292347,0.059344241926838244,-0.031102065990700194,-0.13168867956730135,0.11099167599834149,-0.09472187276083985,0.06565646436080409,-0.2901794104084657,-0.04053096031966026,0.04835703785488714,0.0068625409756007385,-0.7111683324623489,-0.16142169173328025,-0.11005747889862834,0.3081132160389222,-0.3076187646789768,-0.11155212909640913
fus_length,-0.08770069479587639,-0.3174144086292347,1.0,-0.19898768154649044,0.04738125059073389,0.057822666434944825,-0.12314959667225314,0.21180880574307218,-0.11045139266157979,0.21429729549346416,0.06431625313426023,-0.12101908421316586,-0.056495111058683115,0.13051077462766217,0.11993491667741682,0.23349093940109486,0.05173364691689566,0.19533789277434319,0.16945965484344314
cg_x_ratio,0.233131483734045,0.059344241926838244,-0.19898768154649044,1.0,0.3020805822916696,0.3061850181065987,0.04167746693915244,0.12426905682884999,0.01399691829055788,-0.14134288757019992,-0.013784419970008649,0.019118677659902265,-0.11557365434593364,0.1806548349966225,0.2514251877473823,0.13709048194625678,-0.3048948563657361,0.23091680194663283,-0.4558901469053356
attach_x_ratio,0.05113176247613187,-0.031102065990700194,0.04738125059073389,0.3020805822916696,1.0,0.22374859778814532,0.02128730442667402,0.10842339872320418,-0.1517849910325847,-0.009742041862752807,-0.023837166078924495,0.05162377492171649,-0.21279792122809926,0.1005019170897619,0.1578554447357042,0.16473186755562488,-0.14559008300747336,0.41637715279434573,-0.09523796058946875
elevator_span,0.024045368947417975,-0.13168867956730135,0.057822666434944825,0.3061850181065987,0.22374859778814532,1.0,0.0967371678060312,0.16763311731757483,0.05396403024879957,0.05069567613826725,-0.00957401492295233,-0.15812936943108324,-0.043542319016598205,0.15897487532789337,0.8259671486531622,0.16232313779832103,-0.19841101171392017,0.6423997859483361,0.04537589852476306
elevator_aspect_ratio,-0.16233535440777885,0.11099167599834149,-0.12314959667225314,0.04167746693915244,0.02128730442667402,0.0967371678060312,1.0,-0.1936282971962026,0.15846144231729026,-0.12294193957279963,-0.21450591559751297,-0.11329683207559722,-0.08354178634804037,-0.15322161565433012,-0.3878627676161955,-0.2310450162340825,0.10461610466934858,-0.21156299782809188,-0.1614660605257485
rudder_span,-0.0207129691710637,-0.09472187276083985,0.21180880574307218,0.12426905682884999,0.10842339872320418,0.16763311731757483,-0.1936282971962026,1.0,0.005130544871110255,0.20125256861888835,0.21317340905835175,-0.10196569848026768,0.13007829338432203,0.01678824161837517,0.2342368376488689,0.9163554938443405,-0.3455407950331843,0.4444729425414709,0.1996646040108239
rudder_aspect_ratio,-0.20612985494183708,0.06565646436080409,-0.11045139266157979,0.01399691829055788,-0.1517849910325847,0.05396403024879957,0.15846144231729026,0.005130544871110255,1.0,0.06468121125699006,-0.20117185003452379,-0.1251535955444547,-0.029211461610363088,-0.1569389121058345,-0.019216351031077192,-0.3479428222489144,0.10135824283291255,-0.1540386587221157,0.0036140050430312964
dihedral_deg,-0.13936722136060856,-0.2901794104084657,0.21429729549346416,-0.14134288757019992,-0.009742041862752807,0.05069567613826725,-0.12294193957279963,0.20125256861888835,0.06468121125699006,1.0,0.03658506930682307,-0.039262279737788834,0.04317188172348495,0.06661045164007699,0.13161619831503296,0.16774136608975038,-0.2901495103518761,0.1439327457860489,0.34732053204360724
